CalcDirVectorTest: Passed
UpperBoundTest: Passed
UpperBoundTest2: Passed
CheckLengthTest: Passed
GetSpeedTest: Passed
MakePosDataTest: Passed
CombineVectorsTest: Passed
CombineVectorsTest2: Passed
CalcFuturePosTest: Passed
CalcFireDataTest: Passed
