-       		Red  Blue  Green  Orange  Yellow
MinArea(pixels) 335	 0     266    342     266		
MaxArea(pixels) 340	 0     414    342     391
Diff(pixels)    5    0     148    0       125
AvgArea(pixels)	338	 0     326    342     326
Quality 		Ok   Null  Bad    Ok      Bad
