{Max Distance(cm)}	114	128	184	219	256	249
{Spread: Set 1(cm)}	0.75	0.25	2.15	3.65	8.55	4.75
{Spread: Set 2(cm)}	5.55	2.65	3.15	4.35	4.25	2.65	
